query_id,subject_id,dN,dS,dNdS
lcl|NC_000001.11_cds_NP_000822.2_2765,lcl|NC_000070.6_cds_NP_001074566.1_17395,0.004909,0.5057,0.009707
lcl|NC_000001.11_cds_NP_000839.1_5645,lcl|NC_000069.6_cds_NP_080948.2_13490,0.09244,0.5331,0.1734
lcl|NC_000001.11_cds_NP_000840.2_5652,lcl|NC_000069.6_cds_NP_034490.1_13488,0.06022,0.4906,0.1227
lcl|NC_000001.11_cds_NP_000841.1_5639,lcl|NC_000069.6_cds_NP_081040.1_13503,0.07136,0.5146,0.1387
lcl|NC_000001.11_cds_NP_000855.1_1667,lcl|NC_000070.6_cds_XP_017175475.1_18131,0.05493,0.5888,0.0933
lcl|NC_000001.11_cds_NP_000862.1_1381,lcl|NC_000070.6_cds_XP_011248498.1_18305,0.06494,0.3953,0.1643
lcl|NC_000001.11_cds_NP_000897.3_6999,lcl|NC_000069.6_cds_NP_032753.5_12687,0.04777,0.4964,0.09624
lcl|NC_000001.11_cds_NP_000902.3_2167,lcl|NC_000070.6_cds_NP_038650.3_17813,0.03228,0.4032,0.08007
lcl|NC_000001.11_cds_NP_000950.1_4781,lcl|NC_000069.6_cds_NP_032992.1_14390,0.05648,0.6217,0.09084
lcl|NC_000001.11_cds_NP_000954.1_9090,lcl|NC_000067.6_cds_NP_035328.2_3338,0.07551,0.5445,0.1387
lcl|NC_000001.11_cds_NP_000960.2_5181,lcl|NC_000071.6_cds_NP_058676.1_21747,0.00771,0.3889,0.01982
lcl|NC_000001.11_cds_NP_000966.2_1715,lcl|NC_000070.6_cds_NP_080195.1_18099,0,0.4088,0
lcl|NC_000001.11_cds_NP_000974.1_539,lcl|NC_000070.6_cds_NP_033105.1_18935,0.01827,0.6631,0.02755
lcl|NC_000001.11_cds_NP_001001396.1_9518,lcl|NC_000067.6_cds_XP_006529790.1_3040,0.07362,0.4898,0.1503
lcl|NC_000001.11_cds_NP_001001523.1_6871,lcl|NC_000069.6_cds_NP_001280663.1_12828,0.05863,0.4331,0.1354
lcl|NC_000001.11_cds_NP_001001552.3_9694,lcl|NC_000067.6_cds_XP_006529414.1_2912,0.3397,0.6545,0.5191
lcl|NC_000001.11_cds_NP_001001653.1_3232,lcl|NC_000070.6_cds_XP_011238961.1_17118,0.01866,0.433,0.04309
lcl|NC_000001.11_cds_NP_001001918.1_11274,lcl|NC_000073.6_cds_NP_666831.2_31576,0.2827,1.388,0.2037
lcl|NC_000001.11_cds_NP_001001933.1_4665,lcl|NC_000069.6_cds_NP_034843.2_14481,0.04873,0.6457,0.07548
lcl|NC_000001.11_cds_NP_001001957.2_11254,lcl|NC_000077.6_cds_NP_997576.1_47480,0.1009,0.606,0.1665
lcl|NC_000001.11_cds_NP_001001959.1_11252,lcl|NT_078683.1_cds_NP_666488.2_77596,0.152,0.7834,0.194
lcl|NC_000001.11_cds_NP_001001998.1_847,lcl|NT_166299.2_cds_NP_057908.2_78193,0.06991,0.6678,0.1047
lcl|NC_000001.11_cds_NP_001003.1_3450,lcl|NC_000070.6_cds_NP_033124.1_16998,0.00207,0.5197,0.003982
lcl|NC_000001.11_cds_NP_001003665.1_10516,lcl|NC_000067.6_cds_NP_001074696.1_4383,0.01053,0.3782,0.02783
lcl|NC_000001.11_cds_NP_001004303.3_4159,lcl|NC_000070.6_cds_XP_017175708.1_16503,0.2743,0.5977,0.4588
lcl|NC_000001.11_cds_NP_001004339.2_3983,lcl|NC_000070.6_cds_XP_006503039.1_16661,0.1701,0.5101,0.3334
lcl|NC_000001.11_cds_NP_001004342.3_10744,lcl|NC_000074.6_cds_XP_006531202.1_37943,0.03034,0.5531,0.05485
lcl|NC_000001.11_cds_NP_001004432.1_6868,lcl|NC_000069.6_cds_NP_796224.1_12830,0.03236,0.3861,0.08381
lcl|NC_000001.11_cds_NP_001004434.1_1928,lcl|NC_000070.6_cds_NP_001034766.1_17984,0.1169,0.4997,0.2339
lcl|NC_000001.11_cds_NP_001004467.1_7863,lcl|NC_000067.6_cds_NP_001001809.2_4118,0.1407,0.6944,0.2026
lcl|NC_000001.11_cds_NP_001004469.1_7869,lcl|NC_000067.6_cds_NP_032789.1_4115,0.0698,0.5344,0.1306
lcl|NC_000001.11_cds_NP_001004475.1_7816,lcl|NC_000076.6_cds_XP_017169658.1_44076,0.34,1.655,0.2055
lcl|NC_000001.11_cds_NP_001004476.1_7817,lcl|NC_000074.6_cds_NP_666382.2_36424,0.117,0.6485,0.1805
lcl|NC_000001.11_cds_NP_001004477.1_7822,lcl|NC_000067.6_cds_NP_997020.3_4206,0.0902,0.4907,0.1838
lcl|NC_000001.11_cds_NP_001004478.1_7823,lcl|NC_000067.6_cds_NP_666926.2_4204,0.07165,0.6281,0.1141
lcl|NC_000001.11_cds_NP_001004491.1_11259,lcl|NT_078683.1_cds_NP_997113.1_77593,0.1502,0.8692,0.1728
lcl|NC_000001.11_cds_NP_001004492.1_11228,lcl|NC_000077.6_cds_NP_001011789.1_47571,0.06696,0.6058,0.1105
lcl|NC_000001.11_cds_NP_001004689.1_11269,lcl|NC_000082.6_cds_NP_666662.1_63788,0.1481,1.183,0.1252
lcl|NC_000001.11_cds_NP_001005184.1_7831,lcl|NC_000067.6_cds_NP_001005520.2_4200,0.08839,0.5621,0.1572
lcl|NC_000001.11_cds_NP_001005189.1_7820,lcl|NC_000067.6_cds_NP_997577.1_4209,0.08868,0.5547,0.1599
lcl|NC_000001.11_cds_NP_001005214.2_8300,lcl|NC_000067.6_cds_NP_001013400.1_3894,0.176,0.4642,0.3792
lcl|NC_000001.11_cds_NP_001005278.1_7836,lcl|NC_000067.6_cds_NP_666929.2_4197,0.08104,0.513,0.158
lcl|NC_000001.11_cds_NP_001005279.1_7829,lcl|NC_000067.6_cds_NP_666417.2_4202,0.0903,0.5715,0.158
lcl|NC_000001.11_cds_NP_001005286.1_11242,lcl|NC_000073.6_cds_NP_666832.1_31562,0.1014,0.831,0.122
lcl|NC_000001.11_cds_NP_001005327.2_7830,lcl|NC_000067.6_cds_NP_666932.2_4201,0.1365,1.362,0.1003
lcl|NC_000001.11_cds_NP_001005337.1_9341,lcl|NC_000067.6_cds_NP_062619.1_3182,0.02428,0.3297,0.07365
lcl|NC_000001.11_cds_NP_001005487.1_11241,lcl|NC_000073.6_cds_NP_001011866.1_31561,0.0819,0.5828,0.1405
lcl|NC_000001.11_cds_NP_001005742.1_7296,lcl|NC_000069.6_cds_NP_032120.1_12480,0.07938,0.5495,0.1445
lcl|NC_000001.11_cds_NP_001006606.2_5185,lcl|NC_000071.6_cds_NP_080338.1_21749,0.01318,0.3626,0.03635
lcl|NC_000001.11_cds_NP_001006946.1_5724,lcl|NC_000069.6_cds_XP_006501647.1_13442,0.1909,0.3798,0.5026
lcl|NC_000001.11_cds_NP_001007238.1_6013,lcl|NC_000069.6_cds_NP_997088.2_13238,0.03771,0.5191,0.07264
lcl|NC_000001.11_cds_NP_001008493.1_10474,lcl|NC_000067.6_cds_XP_006496713.1_4433,0.04366,0.4105,0.1063
lcl|NC_000001.11_cds_NP_001008536.1_6882,lcl|NC_000069.6_cds_NP_082038.2_12808,0.3334,0.4974,0.6702
lcl|NC_000001.11_cds_NP_001008740.1_2972,lcl|NC_000070.6_cds_NP_001074781.1_17281,0.1302,0.273,0.4768
lcl|NC_000001.11_cds_NP_001009566.1_774,lcl|NT_166299.2_cds_NP_075538.1_78221,0.04223,0.6531,0.06466
lcl|NC_000001.11_cds_NP_001009881.1_3968,lcl|NC_000070.6_cds_XP_017175628.1_16673,0.06024,0.3091,0.1949
lcl|NC_000001.11_cds_NP_001009955.1_4114,lcl|NC_000070.6_cds_NP_940840.1_16556,0,0.2066,0
lcl|NC_000001.11_cds_NP_001009999.1_1654,lcl|NC_000070.6_cds_XP_006539392.1_18143,0.007907,0.4378,0.01806
lcl|NC_000001.11_cds_NP_001010847.1_1009,lcl|NW_004058050.1_cds_NP_001156455.1_76826,0.05656,0.4995,0.1132
lcl|NC_000001.11_cds_NP_001010857.1_6936,lcl|NC_000069.6_cds_NP_081318.1_12748,0.2492,1.615,0.1543
lcl|NC_000001.11_cds_NP_001010861.1_5321,lcl|NC_000069.6_cds_NP_083701.2_13706,0.01972,0.4426,0.04457
lcl|NC_000001.11_cds_NP_001010867.1_10606,lcl|NC_000077.6_cds_NP_776146.1_47522,0.1856,0.5985,0.3102
lcl|NC_000001.11_cds_NP_001010883.2_5487,lcl|NC_000069.6_cds_NP_001157039.1_13598,0.02335,0.401,0.05824
lcl|NC_000001.11_cds_NP_001010922.1_5908,lcl|NT_166287.2_cds_NP_001136431.1_78037,0.1901,0.5227,0.3636
lcl|NC_000001.11_cds_NP_001010979.1_7066,lcl|NC_000069.6_cds_NP_082843.1_12625,0.1254,0.3799,0.3302
lcl|NC_000001.11_cds_NP_001011547.2_3765,lcl|NC_000070.6_cds_XP_006503063.1_16790,0.07149,0.5396,0.1325
lcl|NC_000001.11_cds_NP_001012331.1_7683,lcl|NC_000069.6_cds_XP_006501187.1_12287,0.07518,0.4579,0.1642
lcl|NC_000001.11_cds_NP_001012776.1_6239,lcl|NC_000069.6_cds_NP_084370.1_13114,0.1731,0.3675,0.471
lcl|NC_000001.11_cds_NP_001012988.1_11081,lcl|NC_000067.6_cds_XP_017177918.1_4289,0.1834,0.4823,0.3803
lcl|NC_000001.11_cds_NP_001013633.1_3634,lcl|NC_000070.6_cds_NP_080823.1_16912,0.08393,0.3735,0.2247
lcl|NC_000001.11_cds_NP_001013647.2_8167,lcl|NC_000067.6_cds_XP_017168085.1_3963,0.1303,0.353,0.3691
lcl|NC_000001.11_cds_NP_001013652.1_971,lcl|NC_000070.6_cds_NP_001074717.1_18537,0.2456,0.78,0.3148
lcl|NC_000001.11_cds_NP_001013663.1_1123,lcl|NC_000070.6_cds_NP_666099.2_18433,0.1234,0.557,0.2216
lcl|NC_000001.11_cds_NP_001013683.1_7898,lcl|NC_000067.6_cds_NP_808391.2_4100,0.07463,0.2841,0.2627
lcl|NC_000001.11_cds_NP_001013715.2_1605,lcl|NC_000070.6_cds_XP_006539076.1_18172,0.2703,0.6807,0.3971
lcl|NC_000001.11_cds_NP_001014434.1_9246,lcl|NC_000067.6_cds_XP_017174117.1_3247,0.006257,0.1967,0.0318
lcl|NC_000001.11_cds_NP_001014841.1_2666,lcl|NC_000070.6_cds_XP_006503182.1_17488,0.008746,0.3753,0.0233
lcl|NC_000001.11_cds_NP_001014980.1_106,lcl|NC_000070.6_cds_NP_080401.1_19217,0.1738,0.7697,0.2258
lcl|NC_000001.11_cds_NP_001017403.1_9419,lcl|NC_000067.6_cds_NP_001028581.1_3116,0.05407,0.4675,0.1157
lcl|NC_000001.11_cds_NP_001017425.2_10141,lcl|NC_000067.6_cds_NP_001153322.1_4568,0.01677,0.4972,0.03372
lcl|NC_000001.11_cds_NP_001017977.1_8384,lcl|NC_000067.6_cds_NP_083035.1_3819,0.05707,0.3456,0.1651
lcl|NC_000001.11_cds_NP_001018000.1_1040,lcl|NW_019168508.1_cds_NP_001103155.1_76823,0.0482,0.3863,0.1248
lcl|NC_000001.11_cds_NP_001018064.1_4053,lcl|NC_000070.6_cds_XP_011238764.1_16629,0.05126,0.4081,0.1256
lcl|NC_000001.11_cds_NP_001018077.1_4521,lcl|NC_000072.6_cds_NP_080090.2_25364,0.006923,0.2481,0.0279
lcl|NC_000001.11_cds_NP_001018078.1_4519,lcl|NC_000072.6_cds_NP_001107036.1_25366,0.007032,0.2522,0.02788
lcl|NC_000001.11_cds_NP_001018079.1_4520,lcl|NC_000072.6_cds_NP_001107037.1_25365,0.005935,0.2515,0.0236
lcl|NC_000001.11_cds_NP_001018494.1_2276,lcl|NT_187023.1_cds_NP_001153076.1_78127,0.004731,0.2485,0.01904
lcl|NC_000001.11_cds_NP_001019765.1_9245,lcl|NC_000067.6_cds_NP_001074695.1_3253,0.1876,0.6452,0.2907
lcl|NC_000001.11_cds_NP_001019769.1_545,lcl|NC_000070.6_cds_XP_011248495.1_18926,0.2115,0.783,0.2701
lcl|NC_000001.11_cds_NP_001019770.1_6463,lcl|NC_000069.6_cds_NP_783597.2_13084,0.003769,0.644,0.005852
lcl|NC_000001.11_cds_NP_001019772.1_10056,lcl|NC_000067.6_cds_XP_017168101.1_4614,0.3164,0.5519,0.5733
lcl|NC_000001.11_cds_NP_001019850.1_6904,lcl|NC_000069.6_cds_NP_079897.2_12786,0.1336,0.6507,0.2053
lcl|NC_000001.11_cds_NP_001020119.1_5229,lcl|NC_000069.6_cds_NP_694758.2_13751,0.009635,0.3354,0.02873
lcl|NC_000001.11_cds_NP_001020280.1_9873,lcl|NC_000067.6_cds_NP_598415.1_4712,0.2138,0.4698,0.455
lcl|NC_000001.11_cds_NP_001020769.1_8028,lcl|NC_000067.6_cds_NP_001005508.2_4019,0.1347,0.475,0.2836
lcl|NC_000001.11_cds_NP_001021.1_7046,lcl|NC_000075.6_cds_NP_001177187.1_42056,0.005975,0.1487,0.04018
lcl|NC_000001.11_cds_NP_001026.2_10901,lcl|NC_000079.6_cds_NP_076357.2_54567,0.0131,0.7011,0.01869
lcl|NC_000001.11_cds_NP_001026842.2_4108,lcl|NC_000070.6_cds_XP_006503016.1_16564,0.1193,0.505,0.2363
lcl|NC_000001.11_cds_NP_001026855.2_10380,lcl|NC_000067.6_cds_NP_775554.2_4445,0.04447,0.5263,0.08449
lcl|NC_000001.11_cds_NP_001027535.1_1368,lcl|NC_000070.6_cds_NP_001156478.1_18310,0.02371,0.4271,0.05552
lcl|NC_000001.11_cds_NP_001028253.1_2939,lcl|NC_000070.6_cds_XP_006502884.1_17305,0.05356,0.4829,0.1109
lcl|NC_000001.11_cds_NP_001028254.2_2938,lcl|NC_000070.6_cds_NP_001290050.1_17304,0.05272,0.4451,0.1184
lcl|NC_000001.11_cds_NP_001028754.1_325,lcl|NC_000070.6_cds_XP_017175531.1_19092,0.009731,0.6156,0.01581
lcl|NC_000001.11_cds_NP_001032354.1_10838,lcl|NC_000079.6_cds_XP_017170875.1_54644,0.02951,0.4502,0.06555
lcl|NC_000001.11_cds_NP_001032394.1_5322,lcl|NC_000069.6_cds_NP_001292380.1_13705,0.02074,0.4379,0.04737
lcl|NC_000001.11_cds_NP_001032416.1_4387,lcl|NC_000070.6_cds_NP_001171451.1_16413,0.017,0.494,0.03442
lcl|NC_000001.11_cds_NP_001032417.1_4384,lcl|NC_000070.6_cds_NP_062814.2_16408,0.01645,0.4649,0.03538
lcl|NC_000001.11_cds_NP_001034241.1_9111,lcl|NC_000067.6_cds_NP_001277198.1_3326,0.06968,0.3538,0.1969
lcl|NC_000001.11_cds_NP_001034553.2_4124,lcl|NC_000070.6_cds_XP_011238864.1_16542,0.1672,0.4654,0.3593
lcl|NC_000001.11_cds_NP_001034663.1_5686,lcl|NC_000069.6_cds_XP_006502539.1_13466,0.01563,0.4438,0.03522
lcl|NC_000001.11_cds_NP_001034666.1_180,lcl|NC_000070.6_cds_XP_011248607.1_19179,0.04168,0.5039,0.08272
lcl|NC_000001.11_cds_NP_001034977.1_6264,lcl|NC_000069.6_cds_XP_006501774.1_13096,0.01638,0.442,0.03706
lcl|NC_000001.11_cds_NP_001035122.1_5717,lcl|NC_000069.6_cds_NP_031677.1_13444,0.1001,0.5337,0.1875
lcl|NC_000001.11_cds_NP_001035531.2_2450,lcl|NT_187023.1_cds_NP_082879.1_78085,0.08209,0.7226,0.1136
lcl|NC_000001.11_cds_NP_001036017.1_10046,lcl|NC_000067.6_cds_NP_081171.1_4617,0.0766,0.4476,0.1711
lcl|NC_000001.11_cds_NP_001036018.1_10047,lcl|NC_000067.6_cds_XP_006497266.2_4616,0.07693,0.4492,0.1713
lcl|NC_000001.11_cds_NP_001036128.1_573,lcl|NC_000070.6_cds_XP_006538989.1_18887,0.0759,0.5252,0.1445
lcl|NC_000001.11_cds_NP_001036158.1_3978,lcl|NC_000070.6_cds_NP_001092773.1_16667,0.1549,0.3869,0.4004
lcl|NC_000001.11_cds_NP_001036816.1_7056,lcl|NC_000069.6_cds_NP_001240669.1_12629,0.001935,0.3082,0.006277
lcl|NC_000001.11_cds_NP_001036817.1_7064,lcl|NC_000069.6_cds_XP_006501902.1_12632,0.003997,0.2975,0.01343
lcl|NC_000001.11_cds_NP_001036818.1_7063,lcl|NC_000069.6_cds_NP_001280678.1_12633,0.004033,0.2837,0.01421
lcl|NC_000001.11_cds_NP_001041660.1_2141,lcl|NC_000070.6_cds_NP_001184011.1_17835,0.03589,0.3891,0.09222
lcl|NC_000001.11_cds_NP_001041675.1_5524,lcl|NC_000069.6_cds_NP_001171241.1_13572,0.1525,0.5419,0.2813
lcl|NC_000001.11_cds_NP_001041695.1_9502,lcl|NC_000067.6_cds_XP_006529142.1_3073,0.02924,0.4805,0.06086
lcl|NC_000001.11_cds_NP_001057.1_960,lcl|NC_000070.6_cds_NP_035740.2_18558,0.2524,0.5564,0.4535
lcl|NC_000001.11_cds_NP_001069.1_5396,lcl|NC_000069.6_cds_NP_035823.3_13651,0.1382,0.5712,0.242
lcl|NC_000001.11_cds_NP_001070730.1_1955,lcl|NC_000070.6_cds_XP_006539187.1_17951,0.1077,0.4764,0.2261
lcl|NC_000001.11_cds_NP_001071096.1_6534,lcl|NC_000069.6_cds_NP_666246.1_13044,0.003438,0.2132,0.01612
lcl|NC_000001.11_cds_NP_001071168.2_4461,lcl|NC_000070.6_cds_XP_006503461.1_16449,0.03929,0.3632,0.1082
lcl|NC_000001.11_cds_NP_001071169.1_4478,lcl|NC_000070.6_cds_NP_001034170.1_16456,0.02247,0.3545,0.06338
lcl|NC_000001.11_cds_NP_001073312.1_826,lcl|NC_000070.6_cds_NP_001152816.1_18698,0.04141,0.4204,0.09849
lcl|NC_000001.11_cds_NP_001073343.1_5472,lcl|NT_114257.4_cds_NP_666251.1_78048,0.03191,0.3796,0.08407
lcl|NC_000001.11_cds_NP_001073866.2_704,lcl|NC_000070.6_cds_NP_776135.2_18835,0.04903,0.5847,0.08386
lcl|NC_000001.11_cds_NP_001073895.1_8343,lcl|NC_000067.6_cds_NP_001153521.1_3859,0.09854,0.5383,0.183
lcl|NC_000001.11_cds_NP_001073907.1_2564,lcl|NC_000070.6_cds_NP_001009819.1_17553,0.1993,0.5155,0.3866
lcl|NC_000001.11_cds_NP_001073963.1_3858,lcl|NC_000070.6_cds_NP_001139420.1_16742,0.03606,0.4061,0.0888
lcl|NC_000001.11_cds_NP_001074299.2_977,lcl|NC_000070.6_cds_XP_011248657.1_18531,0.3783,0.7171,0.5275
lcl|NC_000001.11_cds_NP_001075445.1_5793,lcl|NC_000069.6_cds_NP_081301.2_13396,0.193,0.6313,0.3058
lcl|NC_000001.11_cds_NP_001078844.1_8243,lcl|NC_000067.6_cds_NP_001185884.1_3934,0.1221,0.4846,0.252
lcl|NC_000001.11_cds_NP_001078956.1_4186,lcl|NC_000070.6_cds_NP_796213.2_16257,0.1147,0.3414,0.336
lcl|NC_000001.11_cds_NP_001087194.1_7480,lcl|NC_000069.6_cds_NP_001025061.2_12394,0.01735,0.3802,0.04564
lcl|NC_000001.11_cds_NP_001091.1_10683,lcl|NC_000074.6_cds_NP_033736.1_37908,5.349e-4,0.4633,0.001155
lcl|NC_000001.11_cds_NP_001092086.1_7070,lcl|NC_000069.6_cds_NP_080038.1_12621,0.02121,0.4038,0.05252
lcl|NC_000001.11_cds_NP_001092904.1_2401,lcl|NC_000070.6_cds_XP_006502694.1_17631,0.1769,0.3951,0.4476
lcl|NC_000001.11_cds_NP_001092909.1_2817,lcl|NC_000070.6_cds_NP_001243361.1_17369,0.04001,0.4381,0.09133
lcl|NC_000001.11_cds_NP_001094.1_10884,lcl|NC_000079.6_cds_NP_150371.4_54585,0.004034,0.4812,0.008383
lcl|NC_000001.11_cds_NP_001094846.2_3193,lcl|NC_000077.6_cds_XP_006534449.1_47493,0.1431,0.5239,0.2731
lcl|NC_000001.11_cds_NP_001095132.1_3907,lcl|NC_000070.6_cds_NP_666262.2_16706,0.03106,0.3369,0.09219
lcl|NC_000001.11_cds_NP_001096036.1_8157,lcl|NC_000067.6_cds_NP_079833.1_3975,0.06696,0.3927,0.1705
lcl|NC_000001.11_cds_NP_001096640.2_974,lcl|NC_000070.6_cds_NP_001078972.1_18534,0.2863,0.8462,0.3383
lcl|NC_000001.11_cds_NP_001098673.1_7336,lcl|NC_000069.6_cds_NP_001077276.1_12456,0.08542,0.5026,0.17
lcl|NC_000001.11_cds_NP_001099026.1_2075,lcl|NC_000070.6_cds_NP_001028480.1_17857,0.1757,0.5068,0.3466
lcl|NC_000001.11_cds_NP_001099032.1_797,lcl|NC_000070.6_cds_XP_006539152.1_18721,0.02434,0.4906,0.04962
lcl|NC_000001.11_cds_NP_001099129.1_4624,lcl|NC_000069.6_cds_XP_006502252.1_14497,0.2444,0.8314,0.2939
lcl|NC_000001.11_cds_NP_001099139.2_7612,lcl|NC_000069.6_cds_XP_017175017.1_12329,0.2128,0.62,0.3431
lcl|NC_000001.11_cds_NP_001104003.1_4133,lcl|NC_000070.6_cds_NP_899005.2_16523,0.1868,0.5485,0.3405
lcl|NC_000001.11_cds_NP_001106678.1_8019,lcl|NC_000067.6_cds_NP_001157997.1_4024,0.08518,0.7805,0.1091
lcl|NC_000001.11_cds_NP_001106820.1_1530,lcl|NC_000070.6_cds_XP_006538830.1_18205,0.02129,0.5136,0.04144
lcl|NC_000001.11_cds_NP_001106954.1_2820,lcl|NC_000070.6_cds_NP_001007574.1_17368,0.01951,0.4797,0.04066
lcl|NC_000001.11_cds_NP_001107578.1_5257,lcl|NC_000069.6_cds_NP_663369.2_13731,0.1069,0.5593,0.1912
lcl|NC_000001.11_cds_NP_001107580.1_4130,lcl|NC_000070.6_cds_NP_808335.1_16525,0.08546,0.5315,0.1608
lcl|NC_000001.11_cds_NP_001107592.1_4538,lcl|NC_000069.6_cds_NP_001165563.1_14550,0.09147,0.3114,0.2937
